Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
11,2015,10,10,2,NA,NA,1,4,4,NA,4,NA,4,NA,NA,NA,2,NA,5,5,NA,1,1,NA,1,Female,NA,65-74,NA,,NA,NA,White,No,Own,No,21 years or more,"$75,000 to $99,999",Winter Hill,,NA,NA
12,2015,7,8,8,NA,NA,9,7,3,NA,2,NA,3,NA,NA,NA,3,NA,2,3,NA,8,6,NA,7,Female,NA,25-34,NA,,NA,NA,White,No,Rent,Yes,4-7 years,"$150,000 or more",Davis Square / Spring Hill,No,6,1
13,2015,7,7,7,NA,NA,8,8,4,NA,4,NA,3,NA,NA,NA,4,NA,4,4,NA,7,7,NA,7,Female,NA,65-74,NA,,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",Powderhouse,No,7,1
14,2015,10,10,10,NA,NA,10,10,5,NA,2,NA,4,NA,NA,NA,5,NA,5,5,NA,9,9,NA,9,Female,NA,75 or older,NA,None,NA,NA,White,No,Own,No,21 years or more,"$25,000 to $49,999",Between Union and Davis Square,No,3,3
15,2015,7,7,8,NA,NA,9,7,4,NA,2,NA,4,NA,NA,NA,5,NA,4,3,NA,10,9,NA,8,Male,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,Less than a year,"$50,000 to $74,999",Union Square,No,2,1
16,2015,10,10,5,NA,NA,8,6,4,NA,1,NA,3,NA,NA,NA,3,NA,4,3,NA,8,8,NA,8,Male,NA,35-44,NA,Greek,NA,NA,White,No,Own,No,11-15 years,"$25,000 to $49,999",Tufts,No,6,3
17,2015,8,10,9,NA,NA,9,7,3,NA,2,NA,4,NA,NA,NA,3,NA,4,4,NA,9,8,NA,8,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"$50,000 to $74,999",Porter Square,Yes,5,3
18,2015,8,8,8,NA,NA,7,9,5,NA,3,NA,4,NA,NA,NA,5,NA,4,5,NA,9,8,NA,9,Male,NA,55-64,NA,None,NA,NA,White,No,Own,No,21 years or more,"$50,000 to $74,999",Union Square,No,3,1
19,2015,8,9,10,NA,NA,10,10,5,NA,1,NA,4,NA,NA,NA,3,NA,4,5,NA,10,10,NA,8,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,1-3 years,,Teele Square/Tufts,Yes,7,1
20,2015,7,7,7,NA,NA,10,7,5,NA,1,NA,2,NA,NA,NA,4,NA,4,5,NA,7,7,NA,8,Female,NA,35-44,NA,none,NA,NA,White,Yes,Own,No,16-20 years,"$50,000 to $74,999",Magoun Square,No,5,1
21,2015,8,8,8,NA,NA,8,9,4,NA,2,NA,4,NA,NA,NA,4,NA,4,4,NA,9,7,NA,7,Male,NA,35-44,NA,None,NA,NA,White,Yes,Own,No,11-15 years,"$150,000 or more",Spring Hill,No,3,3
22,2015,9,8,9,NA,NA,10,9,4,NA,2,NA,3,NA,NA,NA,3,NA,4,4,NA,9,8,NA,9,Male,NA,25-34,NA,none,NA,NA,"White, Hispanic / Latino",No,Rent,No,Less than a year,"$75,000 to $99,999",Cherry St near Porter Square,No,5,3
23,2015,9,10,10,NA,NA,9,9,5,NA,4,NA,NA,NA,NA,NA,5,NA,4,4,NA,7,8,NA,8,Female,NA,25-34,NA,none,NA,NA,White,No,Own,No,8-10 years,"$150,000 or more",Route 16/Dilboy,No,7,3
24,2015,6,6,8,NA,NA,9,10,4,NA,3,NA,5,NA,NA,NA,5,NA,5,4,NA,6,8,NA,9,Male,NA,55-64,NA,None,NA,NA,White,No,Rent,No,21 years or more,"$25,000 to $49,999",Near Fauss (Foss) Park,No,1,3
25,2015,7,6,7,NA,NA,7,7,3,NA,2,NA,NA,NA,NA,NA,3,NA,3,3,NA,9,8,NA,8,Male,NA,45-54,NA,None,NA,NA,,No,Rent,Yes,4-7 years,"$50,000 to $74,999",Teele,No,7,3
26,2015,8,6,10,NA,NA,10,10,5,NA,1,NA,2,NA,NA,NA,5,NA,2,4,NA,10,10,NA,10,Female,NA,35-44,NA,Italian,NA,NA,White,Yes,Rent,Yes,11-15 years,"$25,000 to $49,999",Spring Hill,No,3,3
27,2015,10,9,9,NA,NA,9,9,4,NA,3,NA,3,NA,NA,NA,3,NA,3,4,NA,9,6,NA,7,Female,NA,25-34,NA,None,NA,NA,White,Yes,Own,No,4-7 years,"$50,000 to $74,999",Magoun,No,5,2
28,2015,2,5,6,NA,NA,6,5,3,NA,4,NA,3,NA,NA,NA,3,NA,2,3,NA,6,6,NA,6,Male,NA,25-34,NA,None,NA,NA,"Black / African American, Other",No,Rent,No,11-15 years,"Less than $10,000",Union Square,No,3,1
29,2015,9,10,10,NA,NA,10,10,3,NA,3,NA,3,NA,NA,NA,5,NA,5,5,NA,6,10,NA,10,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,Less than a year,"$100,000 to $149,999",Davis Square,No,6,3
30,2015,9,8,10,NA,NA,8,10,3,NA,3,NA,1,NA,NA,NA,3,NA,3,4,NA,9,7,NA,8,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,8-10 years,"$150,000 or more",Spring Hill,No,3,2
31,2015,8,7,9,NA,NA,8,8,4,NA,3,NA,NA,NA,NA,NA,4,NA,3,4,NA,7,7,NA,7,Female,NA,45-54,NA,None,NA,NA,White,No,Rent,Yes,8-10 years,"$100,000 to $149,999",Porter Square ,No,2,3
32,2015,9,7,9,NA,NA,8,6,5,NA,3,NA,3,NA,NA,NA,3,NA,5,3,NA,10,9,NA,9,Male,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,Less than a year,"$50,000 to $74,999",Porter,No,3,3
33,2015,7,7,7,NA,NA,7,7,4,NA,3,NA,NA,NA,NA,NA,3,NA,3,4,NA,8,8,NA,8,Female,NA,25-34,NA,None,NA,NA,Other,No,Own,Yes,4-7 years,"$100,000 to $149,999",Teele Square,No,7,3
34,2015,10,10,7,NA,NA,6,10,4,NA,3,NA,3,NA,NA,NA,3,NA,4,4,NA,8,8,NA,8,Male,NA,25-34,NA,Arabic,NA,NA,Other,No,Own,No,1-3 years,"$100,000 to $149,999",Magoun Square,No,5,1
35,2015,9,8,8,NA,NA,9,10,4,NA,1,NA,3,NA,NA,NA,4,NA,4,5,NA,7,7,NA,8,Female,NA,45-54,NA,Italian,NA,NA,White,No,Own,No,11-15 years,"$150,000 or more",Spring Hill,Yes,6,1
36,2015,8,8,9,NA,NA,8,8,3,NA,2,NA,4,NA,NA,NA,4,NA,4,5,NA,9,7,NA,7,Male,NA,45-54,NA,Italiano,NA,NA,White,No,Own,No,16-20 years,"$150,000 or more",Prospect Hil,No,3,1
37,2015,10,8,10,NA,NA,8,10,5,NA,3,NA,NA,NA,NA,NA,4,NA,4,5,NA,10,8,NA,9,Male,NA,35-44,NA,Spanish,NA,NA,White,No,Rent,No,8-10 years,"$75,000 to $99,999",Winter Hill,No,4,2
38,2015,10,9,9,NA,NA,9,9,4,NA,1,NA,3,NA,NA,NA,1,NA,1,4,NA,8,7,NA,10,Female,NA,25-34,NA,None,NA,NA,White,Yes,Rent,No,4-7 years,"$100,000 to $149,999",Spring Hill,No,3,3
39,2015,6,7,8,NA,NA,8,10,4,NA,2,NA,3,NA,NA,NA,3,NA,4,4,NA,9,9,NA,9,Female,NA,45-54,NA,None,NA,NA,White,No,Rent,No,8-10 years,"$25,000 to $49,999",Union Square ,No,3,1
40,2015,8,8,9,NA,NA,9,9,5,NA,3,NA,4,NA,NA,NA,3,NA,4,5,NA,8,8,NA,9,Female,NA,45-54,NA,Yoruba,NA,NA,Black / African American,No,Own,No,4-7 years,"$25,000 to $49,999",Ten Hills,No,4,1
41,2015,7,6,10,NA,NA,9,10,5,NA,5,NA,NA,NA,NA,NA,4,NA,4,5,NA,8,9,NA,10,Female,NA,75 or older,NA,none,NA,NA,White,No,Own,,16-20 years,"$25,000 to $49,999",Near Powder House+Tufts,No,6,3
42,2015,10,9,9,NA,NA,8,9,5,NA,2,NA,3,NA,NA,NA,3,NA,2,5,NA,7,7,NA,9,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$25,000 to $49,999","Winter Hill, baby",No,4,3
43,2015,8,8,10,NA,NA,10,9,4,NA,4,NA,3,NA,NA,NA,4,NA,2,4,NA,9,7,NA,9,Female,NA,45-54,NA,none,NA,NA,White,No,Own,No,8-10 years,"$100,000 to $149,999",Magoun Square,No,5,3
44,2015,8,9,7,NA,NA,7,5,4,NA,1,NA,3,NA,NA,NA,4,NA,4,3,NA,8,8,NA,8,Female,NA,35-44,NA,None,NA,NA,White,No,Rent,Yes,1-3 years,"$25,000 to $49,999",Spring Hill,No,5,3
45,2015,6,7,6,NA,NA,5,5,5,NA,2,NA,3,NA,NA,NA,3,NA,3,3,NA,4,5,NA,5,Female,NA,45-54,NA,none,NA,NA,White,No,Rent,,4-7 years,,Davis Square ,No,6,1
46,2015,9,9,9,NA,NA,8,9,4,NA,2,NA,4,NA,NA,NA,3,NA,2,4,NA,9,8,NA,8,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,Less than a year,,Union,No,3,2
47,2015,8,9,8,NA,NA,8,7,5,NA,2,NA,3,NA,NA,NA,3,NA,4,5,NA,8,5,NA,6,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,4-7 years,"$75,000 to $99,999",Winter Hill,No,4,2
48,2015,6,7,7,NA,NA,9,8,4,NA,3,NA,3,NA,NA,NA,4,NA,2,4,NA,10,9,NA,8,Male,NA,25-34,NA,"French, Filipino ",NA,NA,Other,No,Rent,No,1-3 years,,Davis,No,6,1
49,2015,6,7,9,NA,NA,10,10,3,NA,1,NA,2,NA,NA,NA,4,NA,3,5,NA,7,8,NA,10,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$100,000 to $149,999",Powder House,No,6,3
50,2015,6,8,9,NA,NA,8,8,5,NA,3,NA,4,NA,NA,NA,4,NA,4,5,NA,8,7,NA,6,Female,NA,25-34,NA,None,NA,NA,"White, Hispanic / Latino",No,Rent,No,Less than a year,"$75,000 to $99,999",Union Square,Yes,3,3
51,2015,9,9,10,NA,NA,9,10,5,NA,3,NA,3,NA,NA,NA,4,NA,4,5,NA,8,8,NA,8,Female,NA,45-54,NA,None,NA,NA,White,No,Own,No,21 years or more,"$150,000 or more",ward 6/ Lincoln Park,No,2,2
52,2015,1,10,1,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,3,NA,1,4,NA,1,3,NA,6,Female,NA,65-74,NA,None,NA,NA,White,No,Own,Yes,21 years or more,,,No,NA,NA
53,2015,7,7,9,NA,NA,10,10,5,NA,2,NA,5,NA,NA,NA,5,NA,5,3,NA,6,9,NA,9,Female,NA,75 or older,NA,None (Italian Descent),NA,NA,White,No,Own,No,21 years or more,"$25,000 to $49,999",WINTER HILL,No,4,3
54,2015,8,10,10,NA,NA,10,10,4,NA,4,NA,NA,NA,NA,NA,3,NA,2,5,NA,7,8,NA,8,Female,NA,65-74,NA,None,NA,NA,Other,No,Own,No,21 years or more,"$50,000 to $74,999",Lincoln / Prospect Hill,No,2,3
55,2015,5,5,5,NA,NA,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,NA,5,Male,NA,75 or older,NA,None,NA,NA,White,No,Own,No,21 years or more,"$10,000 to $24,999",Davis,No,6,1
56,2015,9,8,9,NA,NA,9,10,5,NA,1,NA,3,NA,NA,NA,3,NA,4,4,NA,9,9,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,1-3 years,"$75,000 to $99,999",SPRING HILL!,No,3,2
57,2015,8,8,9,NA,NA,9,8,3,NA,2,NA,NA,NA,NA,NA,3,NA,4,4,NA,9,8,NA,9,Male,NA,25-34,NA,None,NA,NA,White,No,Rent,No,1-3 years,"$50,000 to $74,999",Spring Hill,Yes,3,3
58,2015,8,8,8,NA,NA,8,8,5,NA,3,NA,NA,NA,NA,NA,NA,NA,4,5,NA,6,6,NA,7,Female,NA,65-74,NA,none,NA,NA,White,No,Own,No,21 years or more,"$150,000 or more",Spring Hill,No,3,3
59,2015,9,8,9,NA,NA,8,9,5,NA,2,NA,4,NA,NA,NA,3,NA,4,5,NA,8,6,NA,7,Female,NA,35-44,NA,espanol,NA,NA,White,Yes,Own,No,8-10 years,"$100,000 to $149,999",Ward 2,No,2,2
60,2015,10,10,10,NA,NA,10,10,5,NA,4,NA,NA,NA,NA,NA,5,NA,4,5,NA,10,10,NA,10,Female,NA,65-74,NA,None,NA,NA,White,No,Rent,No,21 years or more,,High St,No,7,3
61,2015,9,9,9,NA,NA,9,9,4,NA,3,NA,2,NA,NA,NA,4,NA,3,4,NA,9,7,NA,7,Male,NA,75 or older,NA,Chinese/Japanese,NA,NA,Asian,No,Own,,21 years or more,"$75,000 to $99,999",Davis Square,No,6,2
62,2015,8,8,8,NA,NA,7,7,4,NA,2,NA,NA,NA,NA,NA,3,NA,3,4,NA,8,7,NA,8,Male,NA,35-44,NA,Spanish,NA,NA,"White, Hispanic / Latino",No,Rent,Yes,8-10 years,"$100,000 to $149,999",Winter Hill,No,4,3
63,2015,5,7,6,NA,NA,6,5,5,NA,1,NA,1,NA,NA,NA,5,NA,3,5,NA,6,6,NA,6,Female,NA,55-64,NA,none ,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",Davis Square ,No,5,2
64,2015,9,9,9,NA,NA,8,8,4,NA,2,NA,NA,NA,NA,NA,5,NA,5,5,NA,9,7,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,1-3 years,"$75,000 to $99,999",Spring Hill/Gilman Square,Yes,3,2
65,2015,10,8,10,NA,NA,10,10,5,NA,4,NA,NA,NA,NA,NA,5,NA,5,5,NA,10,9,NA,10,Male,NA,35-44,NA,none,NA,NA,White,No,Rent,No,8-10 years,"$100,000 to $149,999",Union Square,No,3,2
66,2015,9,9,9,NA,NA,9,9,5,NA,2,NA,NA,NA,NA,NA,5,NA,5,5,NA,9,8,NA,9,Female,NA,35-44,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"$150,000 or more",Magoun Square ,No,5,2
67,2015,8,8,8,NA,NA,8,7,4,NA,3,NA,NA,NA,NA,NA,4,NA,4,4,NA,9,7,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,,1-3 years,"$75,000 to $99,999",East Somerville,No,1,2
68,2015,7,7,10,NA,NA,9,9,5,NA,4,NA,NA,NA,NA,NA,4,NA,4,5,NA,10,10,NA,10,Male,NA,25-34,NA,none,NA,NA,White,No,Rent,No,1-3 years,"$25,000 to $49,999",Spring Hill,No,3,3
69,2015,8,7,8,NA,NA,5,8,4,NA,4,NA,4,NA,NA,NA,4,NA,3,4,NA,5,4,NA,8,Female,NA,55-64,NA,None,NA,NA,White,Yes,Rent,No,21 years or more,"$100,000 to $149,999",,No,5,1
70,2015,1,2,10,NA,NA,10,10,5,NA,3,NA,5,NA,NA,NA,5,NA,4,5,NA,5,7,NA,9,Male,NA,65-74,NA,none,NA,NA,White,No,Rent,No,1-3 years,"$150,000 or more",56 Mount Vernon St,No,3,2
71,2015,9,9,9,NA,NA,7,10,5,NA,2,NA,4,NA,NA,NA,2,NA,2,4,NA,9,6,NA,10,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,1-3 years,"$25,000 to $49,999",Between Ball Square + Magoun Square (Cedar Street),No,5,2
72,2015,6,8,9,NA,NA,8,8,4,NA,4,NA,3,NA,NA,NA,3,NA,2,5,NA,9,6,NA,6,Female,NA,35-44,NA,none,NA,NA,White,No,Rent,No,11-15 years,"$50,000 to $74,999",Davis Square,No,6,1
73,2015,7,7,8,NA,NA,8,7,3,NA,2,NA,NA,NA,NA,NA,3,NA,3,4,NA,9,4,NA,6,Female,NA,18-24,NA,None,NA,NA,White,No,Rent,No,Less than a year,"$50,000 to $74,999",Inman Square,No,2,1
74,2015,9,8,8,NA,NA,9,9,4,NA,3,NA,3,NA,NA,NA,3,NA,3,5,NA,8,6,NA,6,Female,NA,35-44,NA,none,NA,NA,Asian,Yes,Own,No,11-15 years,"$150,000 or more",West Somerville,No,5,3
75,2015,10,10,10,NA,NA,8,7,5,NA,2,NA,4,NA,NA,NA,4,NA,5,5,NA,8,4,NA,8,Female,NA,55-64,NA,None,NA,NA,White,No,Own,No,16-20 years,"$50,000 to $74,999",Ball Square,No,5,2
76,2015,9,7,5,NA,NA,5,8,4,NA,1,NA,NA,NA,NA,NA,3,NA,1,5,NA,8,8,NA,8,Male,NA,25-34,NA,Japanese,NA,NA,Asian,No,Rent,No,Less than a year,"$100,000 to $149,999",Union Square ,No,3,1
77,2015,10,10,6,NA,NA,3,6,5,NA,5,NA,5,NA,NA,NA,2,NA,5,5,NA,6,1,NA,1,Female,NA,55-64,NA,NONE,NA,NA,White,No,Own,No,21 years or more,"$75,000 to $99,999",Winter Hill,No,4,2
78,2015,9,9,10,NA,NA,10,10,4,NA,1,NA,3,NA,NA,NA,4,NA,4,4,NA,9,7,NA,7,Male,NA,25-34,NA,none,NA,NA,Asian,No,Rent,Yes,4-7 years,"$100,000 to $149,999",Porter Square,No,2,3
79,2015,9,8,9,NA,NA,9,9,5,NA,2,NA,NA,NA,NA,NA,4,NA,4,4,NA,10,9,NA,7,Male,NA,25-34,NA,None,NA,NA,Asian,No,Rent,No,8-10 years,"$150,000 or more",Ball Square,No,5,2
80,2015,8,8,8,NA,NA,8,8,3,NA,3,NA,3,NA,NA,NA,5,NA,4,3,NA,6,6,NA,7,Female,NA,35-44,NA,None,NA,NA,White,Yes,Own,No,8-10 years,"$150,000 or more",Inman Square,No,2,2
81,2015,6,7,6,NA,NA,5,8,4,NA,1,NA,1,NA,NA,NA,3,NA,4,4,NA,4,5,NA,4,Female,NA,45-54,NA,French,NA,NA,White,Yes,Own,No,21 years or more,"$75,000 to $99,999",Teele Square,No,7,1
82,2015,10,10,10,NA,NA,10,NA,5,NA,1,NA,5,NA,NA,NA,5,NA,5,5,NA,10,10,NA,10,Male,NA,55-64,NA,none,NA,NA,White,No,Rent,Yes,11-15 years,"$25,000 to $49,999",Somerville  Ave / Spring Hill,No,2,3
83,2015,6,4,4,NA,NA,4,2,NA,NA,5,NA,3,NA,NA,NA,1,NA,3,NA,NA,8,6,NA,5,Male,NA,45-54,NA,"""Home - Boy"" :) Ha-Ha-Ha",NA,NA,Black / African American,No,Rent,,4-7 years,"$10,000 to $24,999",Otis @ Cross St,No,1,3
84,2015,6,7,4,NA,NA,6,2,4,NA,1,NA,NA,NA,NA,NA,5,NA,3,NA,NA,6,1,NA,10,Female,NA,25-34,NA,none,NA,NA,"White, Asian",No,Own,No,1-3 years,"$75,000 to $99,999",Broadway near T,No,1,2
85,2015,7,8,9,NA,NA,8,10,5,NA,4,NA,5,NA,NA,NA,5,NA,5,5,NA,10,8,NA,10,Male,NA,35-44,NA,Espanol,NA,NA,Hispanic / Latino,Yes,Own,No,11-15 years,"$50,000 to $74,999",Spring Hill,No,3,3
86,2015,8,7,9,NA,NA,9,9,5,NA,3,NA,NA,NA,NA,NA,4,NA,4,5,NA,9,7,NA,7,Female,NA,35-44,NA,None,NA,NA,White,No,Rent,No,11-15 years,,Union Square,No,3,1
87,2015,10,10,10,NA,NA,7,8,4,NA,2,NA,2,NA,NA,NA,4,NA,4,5,NA,7,7,NA,9,Female,NA,55-64,NA,none,NA,NA,White,Yes,Own,No,21 years or more,"$75,000 to $99,999",Winter Hill,No,NA,NA
88,2015,8,8,9,NA,NA,10,9,4,NA,3,NA,3,NA,NA,NA,4,NA,3,4,NA,9,8,NA,7,Male,NA,35-44,NA,None,NA,NA,White,No,Own,No,4-7 years,"$150,000 or more",Teele,,7,1
89,2015,8,8,8,NA,NA,6,8,3,NA,4,NA,3,NA,NA,NA,4,NA,1,4,NA,9,7,NA,6,Male,NA,35-44,NA,none,NA,NA,"White, Persian",No,Rent,Yes,4-7 years,"$50,000 to $74,999",Winter Hill,No,4,2
90,2015,9,9,7,NA,NA,5,5,4,NA,5,NA,5,NA,NA,NA,5,NA,1,3,NA,5,6,NA,6,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,1-3 years,,Beacon St,Yes,2,3
91,2015,9,9,9,NA,NA,8,9,4,NA,3,NA,3,NA,NA,NA,4,NA,2,4,NA,8,7,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,,8-10 years,,Porter Square,No,2,3
92,2015,5,3,8,NA,NA,8,7,5,NA,2,NA,3,NA,NA,NA,3,NA,2,5,NA,10,8,NA,8,Female,NA,18-24,NA,none,NA,NA,"White, Black / African American",No,Rent,Yes,Less than a year,,Spring Hill,No,2,3
93,2015,6,6,7,NA,NA,6,5,5,NA,3,NA,3,NA,NA,NA,4,NA,3,3,NA,7,5,NA,6,Female,NA,55-64,NA,None,NA,NA,White,No,Own,No,11-15 years,"$100,000 to $149,999",Magoun Square,No,5,1
94,2015,10,10,10,NA,NA,10,10,5,NA,2,NA,5,NA,NA,NA,5,NA,5,5,NA,10,10,NA,10,Female,NA,65-74,NA,Spanish,NA,NA,Hispanic / Latino,No,Rent,Yes,8-10 years,,Portugues,No,3,2
95,2015,9,9,9,NA,NA,9,7,3,NA,3,NA,NA,NA,NA,NA,4,NA,3,3,NA,9,9,NA,8,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,Less than a year,"$75,000 to $99,999",Davis Square/Powder House Square,No,6,2
