"Hurricane Season Year (June - November)	Step 1 (Extremes in Maximum Temperatures)	Step 2 (Extremes In Minimum Temperature) 	Step 3 (Extremes in Drought Severity (PDSI)	Total Climate Extreme Index (All Steps)	CO2 (PPM)"
"1965	14.80%	1.00%	22.10%	10.30%	320.20%"
"1966	12.00%	51.90%	12.50%	20.08%	321.50%"
"1967	88.40%	93.80%	14.60%	46.70%	322.30%"
"1968	5.90%	29.30%	17.40%	16.62%	323.00%"
"1969	5.70%	8.00%	4.60%	10.10%	324.00%"
"1970	1.20%	1.20%	0.00%	7.46%	325.00%"
"1971	0.00%	16.90%	34.40%	19.42%	326.00%"
"1972	36.40%	27.20%	13.70%	24.20%	327.00%"
"1973	2.00%	8.30%	25.20%	11.82%	329.00%"
"1974	55.10%	85.50%	10.70%	34.02%	330.00%"
"1975	16.90%	0.40%	60.30%	23.90%	331.00%"
"1976	95.20%	94.20%	23.10%	43.62%	331.90%"
"1977	0.70%	0.50%	2.40%	11.14%	333.00%"
"1978	15.90%	0.20%	5.70%	11.58%	335.00%"
"1979	22.40%	2.20%	46.40%	21.70%	337.00%"
"1980	2.80%	0.20%	5.00%	9.92%	338.00%"
"1981	3.30%	9.60%	33.70%	15.36%	340.00%"
"1982	9.60%	1.10%	6.70%	9.62%	341.00%"
"1983	1.00%	0.90%	9.80%	9.28%	342.00%"
"1984	0.00%	3.50%	0.00%	9.38%	344.00%"
"1985	16.40%	86.30%	6.40%	32.10%	345.00%"
"1986	31.20%	88.80%	42.90%	38.04%	347.00%"
"1987	2.00%	11.20%	1.30%	6.18%	348.00%"
"1988	0.30%	16.10%	9.90%	10.12%	351.00%"
"1989	20.40%	1.10%	63.50%	27.70%	353.00%"
"1990	62.30%	0.10%	18.10%	31.50%	354.00%"
"1991	0.90%	0.30%	19.70%	11.00%	355.00%"
"1992	71.40%	0.90%	6.10%	25.30%	356.00%"
"1993	14.60%	0.80%	4.10%	11.46%	357.00%"
"1994	25.00%	3.30%	23.20%	21.66%	358.00%"
"1995	2.80%	3.40%	15.80%	20.18%	360.00%"
"1996	49.30%	0.30%	14.10%	21.04%	362.00%"
"1997	50.30%	8.70%	7.20%	20.70%	363.00%"
"1998	87.20%	68.70%	2.70%	44.32%	366.00%"
"1999	7.50%	0.40%	18.60%	21.06%	368.00%"
"2000	2.60%	1.60%	50.30%	13.76%	369.00%"
"2001	0.10%	0.80%	15.10%	8.98%	371.00%"
"2002	0.80%	67.90%	14.60%	25.22%	373.00%"
"2003	1.80%	23.70%	61.20%	30.78%	375.00%"
"2004	3.10%	88.80%	14.10%	37.92%	377.00%"
"2005	14.80%	84.70%	0.00%	24.86%	379.00%"
"2006	0.40%	1.00%	41.10%	20.56%	381.00%"
"2007	59.10%	25.10%	91.20%	43.28%	383.00%"
"2008	1.80%	1.40%	22.20%	15.64%	385.00%"
"2009	15.10%	25.60%	4.30%	19.64%	386.00%"
"2010	97.30%	50.90%	3.60%	36.02%	389.00%"
"2011	43.00%	18.20%	61.50%	32.80%	391.00%"
